DBN,Major N,Oth N,NoCrim N,Prop N,Vio N,AvgOfMajor N,AvgOfOth N,AvgOfNoCrim N,AvgOfProp N,AvgOfVio N,Latitude,Longitude,SATall,SATmath
01M450,1.0,4.0,0.0,3.0,1.0,0.33,1.32,1.76,0.83,0.59,40.729589000000004,-73.982555,383.0,402.0
01M450,0.0,2.0,1.0,2.0,0.0,0.31,1.12,1.82,0.79,0.51,40.729589000000004,-73.982555,383.0,402.0
01M450,0.0,4.0,1.0,1.0,1.0,0.28,1.11,1.74,0.75,0.53,40.729589000000004,-73.982555,383.0,402.0
02M414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.742129,-74.00219799999999,473.0,492.0
02M412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.742129,-74.00219799999999,559.0,590.0
03M415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.802207,-73.954142,369.6666666666667,368.0
03M860,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.802207,-73.954142,365.3333333333333,379.0
01M696,0.0,0.0,0.0,0.0,0.0,0.33,1.32,1.76,0.83,0.59,40.719029,-73.975891,618.6666666666666,604.0
01M696,0.0,0.0,2.0,0.0,0.0,0.31,1.12,1.82,0.79,0.51,40.719029,-73.975891,618.6666666666666,604.0
01M696,0.0,0.0,1.0,0.0,0.0,0.28,1.11,1.74,0.75,0.53,40.719029,-73.975891,618.6666666666666,604.0
04M635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.785671,-73.942548,365.0,369.0
04M680,0.0,2.0,1.0,0.0,1.0,0.35,1.06,1.09,0.73,0.5,40.791881,-73.946558,351.3333333333333,351.0
04M680,1.0,1.0,4.0,1.0,0.0,0.27,1.11,1.38,0.8,0.48,40.791881,-73.946558,351.3333333333333,351.0
04M680,0.0,0.0,2.0,0.0,0.0,0.27,0.9,1.67,0.63,0.44,40.791881,-73.946558,351.3333333333333,351.0
03M485,2.0,2.0,5.0,4.0,0.0,2.93,12.33,31.53,6.47,5.13,40.773629,-73.98527299999999,569.0,564.0
03M485,0.0,3.0,8.0,2.0,1.0,3.33,12.0,34.5,6.42,7.17,40.773629,-73.98527299999999,569.0,564.0
03M485,0.0,4.0,2.0,2.0,0.0,3.14,13.0,34.86,8.29,5.29,40.773629,-73.98527299999999,569.0,564.0
02M298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.716553000000005,-73.993092,431.0,438.0
02M394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.716553000000005,-73.993092,396.0,512.0
05M304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.817372,-73.947712,403.3333333333333,399.0
05M685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.817372,-73.947712,361.6666666666667,361.0
06M348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.848908,-73.930948,391.3333333333333,395.0
06M293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.86079,-73.930672,423.3333333333333,446.0
02M529,1.0,5.0,4.0,6.0,0.0,0.33,1.32,1.76,0.83,0.59,40.757729,-73.983078,413.0,425.0
02M529,1.0,9.0,13.0,6.0,4.0,0.31,1.12,1.82,0.79,0.51,40.757729,-73.983078,413.0,425.0
02M529,2.0,7.0,19.0,4.0,3.0,0.28,1.11,1.74,0.75,0.53,40.757729,-73.983078,413.0,425.0
02M316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.70568,-74.013302,375.6666666666667,370.0
02M580,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.70568,-74.013302,398.3333333333333,384.0
04M435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.793856,-73.934028,476.6666666666667,514.0
02M419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.742867,-74.002136,390.0,399.0
02M313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.742867,-74.002136,396.0,390.0
02M605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.742867,-74.002136,418.3333333333333,403.0
02M305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.716778000000005,-73.989337,382.6666666666667,388.0
02M543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.716778000000005,-73.989337,389.3333333333333,395.0
02M308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.716778000000005,-73.989337,400.0,392.0
02M545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.716778000000005,-73.989337,474.6666666666667,581.0
02M294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.716778000000005,-73.989337,385.3333333333333,384.0
01M448,1.0,0.0,2.0,1.0,0.0,0.35,1.06,1.09,0.73,0.5,40.712399,-73.98449699999999,390.6666666666667,423.0
01M448,0.0,1.0,2.0,1.0,0.0,0.27,1.11,1.38,0.8,0.48,40.712399,-73.98449699999999,390.6666666666667,423.0
01M448,0.0,3.0,5.0,0.0,1.0,0.27,0.9,1.67,0.63,0.44,40.712399,-73.98449699999999,390.6666666666667,423.0
02M550,2.0,2.0,1.0,3.0,1.0,0.35,1.06,1.09,0.73,0.5,40.741657000000004,-73.999307,385.3333333333333,436.0
02M550,0.0,1.0,1.0,0.0,1.0,0.27,1.11,1.38,0.8,0.48,40.741657000000004,-73.999307,385.3333333333333,436.0
02M550,0.0,0.0,1.0,0.0,0.0,0.27,0.9,1.67,0.63,0.44,40.741657000000004,-73.999307,385.3333333333333,436.0
02M413,0.0,0.0,3.0,0.0,0.0,0.33,1.32,1.76,0.83,0.59,40.738952000000005,-73.985479,521.6666666666666,533.0
02M413,1.0,0.0,3.0,1.0,0.0,0.31,1.12,1.82,0.79,0.51,40.738952000000005,-73.985479,521.6666666666666,533.0
02M413,1.0,2.0,1.0,3.0,0.0,0.28,1.11,1.74,0.75,0.53,40.738952000000005,-73.985479,521.6666666666666,533.0
02M460,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.735494,-73.987659,373.3333333333333,387.0
02M374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.735494,-73.987659,392.0,391.0
02M575,0.0,1.0,0.0,1.0,0.0,0.52,1.71,2.49,1.16,0.75,40.732715999999996,-73.984665,401.6666666666667,517.0
02M575,0.0,1.0,0.0,1.0,0.0,0.31,1.12,1.82,0.79,0.51,40.732715999999996,-73.984665,401.6666666666667,517.0
02M575,2.0,3.0,1.0,2.0,3.0,0.28,1.11,1.74,0.75,0.53,40.732715999999996,-73.984665,401.6666666666667,517.0
06M462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.855954,-73.927051,375.6666666666667,384.0
06M463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.855954,-73.927051,366.0,380.0
06M467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.855954,-73.927051,367.3333333333333,378.0
06M468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.855954,-73.927051,408.0,422.0
06M457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.855954,-73.927051,365.6666666666667,357.0
03M404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.785803,-73.974614,400.0,403.0
01M650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.72252,-73.990728,415.3333333333333,418.0
02M407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.732447,-73.98303100000001,474.6666666666667,465.0
02M420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.732447,-73.98303100000001,435.3333333333333,449.0
02M475,0.0,2.0,2.0,1.0,0.0,2.13,9.06,14.5,6.06,3.56,40.71759,-74.01374799999999,698.6666666666666,735.0
02M475,0.0,1.0,1.0,1.0,0.0,1.57,7.21,14.07,5.14,2.57,40.71759,-74.01374799999999,698.6666666666666,735.0
02M475,0.0,2.0,4.0,1.0,0.0,1.13,8.47,15.33,3.8,3.07,40.71759,-74.01374799999999,698.6666666666666,735.0
02M449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.765359000000004,-73.960059,399.6666666666667,416.0
02M565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.765359000000004,-73.960059,515.6666666666666,508.0
02M519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.765359000000004,-73.960059,472.0,472.0
02M459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.765359000000004,-73.960059,409.0,460.0
02M630,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.759240000000005,-73.967203,438.3333333333333,441.0
03M307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.774351,-73.984753,381.3333333333333,390.0
03M283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.774351,-73.984753,397.6666666666667,379.0
03M541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.774351,-73.984753,482.0,506.0
03M494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.774351,-73.984753,425.6666666666667,433.0
03M492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.774351,-73.984753,398.6666666666667,398.0
03M299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.774351,-73.984753,377.3333333333333,384.0
04M495,0.0,2.0,2.0,1.0,0.0,0.35,1.06,1.09,0.73,0.5,40.790543,-73.944356,376.0,379.0
04M495,0.0,2.0,2.0,1.0,1.0,0.27,1.11,1.38,0.8,0.48,40.790543,-73.944356,376.0,379.0
04M495,0.0,1.0,2.0,0.0,1.0,0.27,0.9,1.67,0.63,0.44,40.790543,-73.944356,376.0,379.0
05M469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.807383,-73.939433,366.3333333333333,360.0
03M505,2.0,4.0,4.0,5.0,1.0,0.33,1.32,1.76,0.83,0.59,40.797559,-73.966837,373.6666666666667,369.0
03M505,0.0,4.0,8.0,4.0,0.0,0.31,1.12,1.82,0.79,0.51,40.797559,-73.966837,373.6666666666667,369.0
03M505,1.0,3.0,7.0,3.0,0.0,0.28,1.11,1.74,0.75,0.53,40.797559,-73.966837,373.6666666666667,369.0
01M458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.72252,-73.990728,391.3333333333333,401.0
05M692,0.0,0.0,0.0,0.0,0.0,0.35,1.06,1.09,0.73,0.5,40.82074,-73.949097,615.6666666666666,654.0
05M692,0.0,0.0,0.0,0.0,0.0,0.27,1.11,1.38,0.8,0.48,40.82074,-73.949097,615.6666666666666,654.0
05M692,0.0,0.0,0.0,0.0,0.0,0.27,0.9,1.67,0.63,0.44,40.82074,-73.949097,615.6666666666666,654.0
02M520,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.711442,-74.000851,413.3333333333333,440.0
02M300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.765184000000005,-73.992953,423.0,449.0
02M542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.765184000000005,-73.992953,352.6666666666667,378.0
02M296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.765184000000005,-73.992953,370.3333333333333,375.0
02M288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.765184000000005,-73.992953,398.0,393.0
02M303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.765184000000005,-73.992953,350.3333333333333,358.0
06M540,9.0,23.0,17.0,17.0,9.0,0.86,3.26,5.55,2.17,1.29,40.818188,-73.950356,436.3333333333333,456.0
06M540,10.0,17.0,16.0,13.0,12.0,0.89,3.22,5.07,2.18,1.64,40.818188,-73.950356,436.3333333333333,456.0
06M540,3.0,8.0,14.0,6.0,4.0,0.64,3.02,5.77,1.72,1.54,40.818188,-73.950356,436.3333333333333,456.0
02M600,1.0,6.0,9.0,4.0,1.0,0.81,3.95,6.51,2.3,1.78,40.745156,-73.996074,419.0,423.0
02M600,1.0,7.0,11.0,7.0,1.0,0.95,3.35,6.9,2.5,1.45,40.745156,-73.996074,419.0,423.0
02M600,2.0,8.0,17.0,7.0,3.0,0.9,3.5,7.25,2.55,1.45,40.745156,-73.996074,419.0,423.0
02M376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.7244,-74.004625,478.3333333333333,483.0
02M615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.7244,-74.004625,402.3333333333333,418.0
02M500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.746176,-73.981241,356.6666666666667,349.0
02M620,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.746176,-73.981241,369.3333333333333,379.0
06M346,0.0,1.0,0.0,1.0,0.0,0.33,1.32,1.76,0.83,0.59,40.833687,-73.942072,368.3333333333333,376.0
06M346,0.0,3.0,4.0,2.0,0.0,0.31,1.12,1.82,0.79,0.51,40.833687,-73.942072,368.3333333333333,376.0
06M346,0.0,1.0,1.0,0.0,1.0,0.28,1.11,1.74,0.75,0.53,40.833687,-73.942072,368.3333333333333,376.0
02M625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.76337,-73.990593,384.3333333333333,382.0
02M560,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.729411999999996,-74.006148,471.6666666666667,440.0
02M586,0.0,1.0,2.0,1.0,0.0,0.43,1.03,1.23,0.99,0.41,40.730038,-73.992632,434.3333333333333,416.0
02M586,0.0,0.0,2.0,0.0,0.0,0.36,0.76,1.17,0.64,0.37,40.730038,-73.992632,434.3333333333333,416.0
02M586,0.0,0.0,8.0,0.0,0.0,0.24,0.71,1.71,0.51,0.32,40.730038,-73.992632,434.3333333333333,416.0
02M489,1.0,5.0,3.0,4.0,1.0,0.52,1.71,2.49,1.16,0.75,40.709196,-74.012022,458.0,489.0
02M489,0.0,3.0,8.0,1.0,2.0,0.46,1.65,2.77,1.17,0.75,40.709196,-74.012022,458.0,489.0
02M489,1.0,5.0,1.0,4.0,1.0,0.38,1.71,2.38,0.98,0.82,40.709196,-74.012022,458.0,489.0
02M544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.768343,-73.989108,365.0,371.0
02M400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.767790999999995,-73.987531,473.0,493.0
03M479,0.0,0.0,0.0,0.0,0.0,0.86,3.26,5.55,2.17,1.29,40.772007,-73.98747900000001,581.3333333333334,575.0
03M479,0.0,0.0,0.0,0.0,0.0,0.89,3.22,5.07,2.18,1.64,40.772007,-73.98747900000001,581.3333333333334,575.0
03M479,0.0,0.0,0.0,0.0,0.0,0.64,3.02,5.77,1.72,1.54,40.772007,-73.98747900000001,581.3333333333334,575.0
02M416,0.0,0.0,1.0,0.0,0.0,0.33,1.32,1.76,0.83,0.59,40.770187,-73.953608,586.0,594.0
02M416,0.0,0.0,0.0,0.0,0.0,0.31,1.12,1.82,0.79,0.51,40.770187,-73.953608,586.0,594.0
02M416,0.0,1.0,2.0,0.0,1.0,0.28,1.11,1.74,0.75,0.53,40.770187,-73.953608,586.0,594.0
02M439,1.0,2.0,1.0,2.0,1.0,0.35,1.06,1.09,0.73,0.5,40.741496999999995,-73.991512,457.3333333333333,473.0
02M439,0.0,0.0,0.0,0.0,0.0,0.27,1.11,1.38,0.8,0.48,40.741496999999995,-73.991512,457.3333333333333,473.0
02M439,0.0,0.0,0.0,0.0,0.0,0.27,0.9,1.67,0.63,0.44,40.741496999999995,-73.991512,457.3333333333333,473.0
02M411,1.0,1.0,0.0,2.0,0.0,0.35,1.06,1.09,0.73,0.5,40.741929999999996,-73.986521,525.6666666666666,563.0
02M411,0.0,0.0,0.0,0.0,0.0,0.27,1.11,1.38,0.8,0.48,40.741929999999996,-73.986521,525.6666666666666,563.0
02M411,0.0,0.0,1.0,0.0,0.0,0.27,0.9,1.67,0.63,0.44,40.741929999999996,-73.986521,525.6666666666666,563.0
02M551,2.0,0.0,1.0,1.0,1.0,0.35,1.06,1.09,0.73,0.5,40.701695,-74.01163100000001,404.0,423.0
02M551,0.0,7.0,7.0,2.0,3.0,0.27,1.11,1.38,0.8,0.48,40.701695,-74.01163100000001,404.0,423.0
02M551,0.0,0.0,3.0,0.0,0.0,0.27,0.9,1.67,0.63,0.44,40.701695,-74.01163100000001,404.0,423.0
02M429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.736518,-73.994858,354.0,357.0
02M425,1.0,2.0,12.0,2.0,1.0,0.33,1.32,1.76,0.83,0.59,40.708729999999996,-74.012332,411.0,426.0
02M425,3.0,8.0,12.0,6.0,4.0,0.31,1.12,1.82,0.79,0.51,40.708729999999996,-74.012332,411.0,426.0
02M425,0.0,4.0,9.0,1.0,2.0,0.28,1.11,1.74,0.75,0.53,40.708729999999996,-74.012332,411.0,426.0
04M610,1.0,1.0,0.0,2.0,0.0,0.35,1.06,1.09,0.73,0.5,40.792741,-73.947428,442.0,446.0
04M610,0.0,0.0,0.0,0.0,0.0,0.27,1.11,1.38,0.8,0.48,40.792741,-73.947428,442.0,446.0
04M610,0.0,1.0,0.0,1.0,0.0,0.27,0.9,1.67,0.63,0.44,40.792741,-73.947428,442.0,446.0
02M531,0.0,2.0,1.0,2.0,0.0,0.43,1.03,1.23,0.99,0.41,40.755843,-73.984382,417.6666666666667,404.0
02M531,0.0,3.0,0.0,2.0,0.0,0.36,0.76,1.17,0.64,0.37,40.755843,-73.984382,417.6666666666667,404.0
02M531,0.0,0.0,0.0,0.0,0.0,0.24,0.71,1.71,0.51,0.32,40.755843,-73.984382,417.6666666666667,404.0
05M285,1.0,4.0,1.0,1.0,1.0,0.43,1.03,1.23,0.99,0.41,40.807987,-73.940061,336.0,318.0
05M285,0.0,1.0,0.0,1.0,0.0,0.36,0.76,1.17,0.64,0.37,40.807987,-73.940061,336.0,318.0
05M285,0.0,1.0,2.0,1.0,0.0,0.27,0.9,1.67,0.63,0.44,40.807987,-73.940061,336.0,318.0
02M570,0.0,2.0,1.0,2.0,0.0,0.35,1.06,1.09,0.73,0.5,40.747621,-73.990454,344.0,337.0
02M570,0.0,2.0,1.0,2.0,0.0,0.27,1.11,1.38,0.8,0.48,40.747621,-73.990454,344.0,337.0
02M570,0.0,0.0,1.0,0.0,0.0,0.27,0.9,1.67,0.63,0.44,40.747621,-73.990454,344.0,337.0
05M670,1.0,7.0,3.0,5.0,3.0,0.33,1.32,1.76,0.83,0.59,40.815509000000006,-73.944202,400.6666666666667,402.0
05M670,1.0,2.0,4.0,3.0,0.0,0.31,1.12,1.82,0.79,0.51,40.815509000000006,-73.944202,400.6666666666667,402.0
05M670,1.0,2.0,4.0,3.0,0.0,0.28,1.11,1.74,0.75,0.53,40.815509000000006,-73.944202,400.6666666666667,402.0
25Q540,0.0,2.0,0.0,1.0,0.0,0.35,1.06,1.09,0.73,0.5,40.765162,-73.8288,389.3333333333333,382.0
25Q540,1.0,1.0,0.0,1.0,0.0,0.27,1.11,1.38,0.8,0.48,40.765162,-73.8288,389.3333333333333,382.0
25Q540,0.0,0.0,1.0,0.0,0.0,0.27,0.9,1.67,0.63,0.44,40.765162,-73.8288,389.3333333333333,382.0
25Q285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.765133,-73.790083,480.3333333333333,489.0
25Q252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.724458,-73.810216,465.3333333333333,498.0
27Q323,1.0,1.0,0.0,2.0,0.0,0.86,3.26,5.55,2.17,1.29,40.584109000000005,-73.825711,510.6666666666667,537.0
27Q323,0.0,0.0,2.0,0.0,0.0,0.89,3.22,5.07,2.18,1.64,40.584109000000005,-73.825711,510.6666666666667,537.0
27Q323,0.0,0.0,0.0,0.0,0.0,0.64,3.02,5.77,1.72,1.54,40.584109000000005,-73.825711,510.6666666666667,537.0
25Q263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.759844,-73.820548,349.6666666666667,417.0
29Q259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.70646,-73.753579,391.0,397.0
27Q308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.671240000000004,-73.845141,421.6666666666667,426.0
25Q281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.749545,-73.822073,423.6666666666667,463.0
27Q400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.675633000000005,-73.783342,369.3333333333333,371.0
30Q301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.742956,-73.95919599999999,418.3333333333333,440.0
26Q495,3.0,11.0,11.0,9.0,4.0,2.13,9.06,14.5,6.06,3.56,40.771755,-73.78029599999999,483.0,523.0
26Q495,1.0,7.0,4.0,3.0,3.0,1.57,7.21,14.07,5.14,2.57,40.771755,-73.78029599999999,483.0,523.0
26Q495,2.0,4.0,7.0,2.0,1.0,1.13,8.47,15.33,3.8,3.07,40.771755,-73.78029599999999,483.0,523.0
27Q262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.586065999999995,-73.822624,417.3333333333333,419.0
30Q575,0.0,0.0,2.0,0.0,0.0,0.52,1.71,2.49,1.16,0.75,40.751331,-73.937434,490.0,492.0
30Q575,1.0,3.0,0.0,3.0,0.0,0.46,1.65,2.77,1.17,0.75,40.751331,-73.937434,490.0,492.0
30Q575,0.0,1.0,0.0,0.0,1.0,0.38,1.71,2.38,0.98,0.82,40.751331,-73.937434,490.0,492.0
27Q410,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.586065999999995,-73.822624,378.0,396.0
26Q415,8.0,16.0,12.0,16.0,5.0,2.13,9.06,14.5,6.06,3.56,40.752333,-73.75599,504.6666666666667,545.0
26Q415,1.0,9.0,11.0,7.0,1.0,1.57,7.21,14.07,5.14,2.57,40.752333,-73.75599,504.6666666666667,545.0
26Q415,2.0,18.0,11.0,8.0,4.0,1.13,8.47,15.33,3.8,3.07,40.752333,-73.75599,504.6666666666667,545.0
29Q248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.668234999999996,-73.756839,366.3333333333333,380.0
29Q283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.668234999999996,-73.756839,366.6666666666667,367.0
29Q272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.668234999999996,-73.756839,429.0,427.0
29Q265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.668234999999996,-73.756839,400.6666666666667,398.0
25Q425,2.0,9.0,32.0,6.0,3.0,2.13,9.06,14.5,6.06,3.56,40.738139000000004,-73.82494399999999,414.3333333333333,451.0
25Q425,3.0,14.0,33.0,9.0,6.0,1.57,7.21,14.07,5.14,2.57,40.738139000000004,-73.82494399999999,414.3333333333333,451.0
25Q425,4.0,16.0,51.0,7.0,7.0,1.13,8.47,15.33,3.8,3.07,40.738139000000004,-73.82494399999999,414.3333333333333,451.0
26Q430,3.0,3.0,4.0,4.0,2.0,1.8,7.8,7.6,6.2,2.2,40.740724,-73.79283000000001,491.3333333333333,539.0
26Q430,3.0,13.0,4.0,11.0,3.0,2.6,10.4,14.8,9.2,2.4,40.740724,-73.79283000000001,491.3333333333333,539.0
26Q430,0.0,7.0,5.0,4.0,1.0,0.33,6.67,7.0,3.33,2.0,40.740724,-73.79283000000001,491.3333333333333,539.0
26Q435,2.0,11.0,26.0,7.0,5.0,2.39,7.89,13.67,5.22,3.94,40.733066,-73.73875600000001,390.6666666666667,397.0
26Q435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.733066,-73.73875600000001,390.6666666666667,397.0
28Q440,0.0,9.0,10.0,6.0,0.0,2.13,9.06,14.5,6.06,3.56,40.729402,-73.845637,469.0,497.0
28Q440,2.0,2.0,5.0,4.0,0.0,1.57,7.21,14.07,5.14,2.57,40.729402,-73.845637,469.0,497.0
28Q440,1.0,9.0,5.0,6.0,4.0,1.13,8.47,15.33,3.8,3.07,40.729402,-73.845637,469.0,497.0
30Q445,1.0,12.0,9.0,7.0,4.0,2.93,12.33,31.53,6.47,5.13,40.75823,-73.910514,425.0,449.0
30Q445,1.0,16.0,13.0,10.0,5.0,1.96,7.74,16.07,5.48,3.44,40.75823,-73.910514,425.0,449.0
30Q445,0.0,11.0,7.0,5.0,3.0,1.69,7.16,17.44,3.63,3.94,40.75823,-73.910514,425.0,449.0
30Q555,0.0,2.0,3.0,2.0,0.0,0.52,1.71,2.49,1.16,0.75,40.751356,-73.937445,375.6666666666667,475.0
30Q555,0.0,1.0,1.0,0.0,1.0,0.46,1.65,2.77,1.17,0.75,40.751356,-73.937445,375.6666666666667,475.0
30Q555,0.0,1.0,0.0,0.0,0.0,0.38,1.71,2.38,0.98,0.82,40.751356,-73.937445,375.6666666666667,475.0
30Q450,0.0,5.0,14.0,2.0,1.0,2.93,12.33,31.53,6.47,5.13,40.765826000000004,-73.9328,406.0,420.0
30Q450,2.0,4.0,12.0,3.0,1.0,1.96,7.74,16.07,5.48,3.44,40.765826000000004,-73.9328,406.0,420.0
30Q450,0.0,9.0,20.0,2.0,5.0,1.69,7.16,17.44,3.63,3.94,40.765826000000004,-73.9328,406.0,420.0
24Q455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.741122,-73.874721,401.0,440.0
24Q550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.737427000000004,-73.853178,391.3333333333333,403.0
25Q467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.765166,-73.82789,365.0,373.0
25Q460,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.765166,-73.82789,405.3333333333333,441.0
27Q302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.60201,-73.762795,385.3333333333333,401.0
27Q260,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.60201,-73.762795,381.6666666666667,385.0
27Q309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.60201,-73.762795,364.6666666666667,379.0
28Q310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.713218,-73.797237,421.6666666666667,445.0
28Q470,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.713218,-73.797237,354.3333333333333,368.0
28Q350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.713218,-73.797237,435.6666666666667,452.0
